DOI,Composition,Pt_wt,Pt_size,Surface_area,N_doped,pH,Current_Density,Overpotential
10.1021/acsnano.8b01022,PtNi,14.2,7.2,588,1.48,14,60,391
10.1021/acsnano.8b01022,PtNi,14.2,7.2,588,1.48,14,50,348
10.1021/acsnano.8b01022,PtNi,14.2,7.2,588,1.48,14,40,304
10.1021/acsnano.8b01022,PtNi,14.2,7.2,588,1.48,14,20,190
10.1021/acsnano.8b01022,PtNi,14.2,7.2,588,1.48,14,10,118
10.1016/j.jpowsour.2018.09.006,PtNi,10.11,6,347,4.3,14,100,220
10.1016/j.jpowsour.2018.09.006,PtNi,10.11,6,347,4.3,14,80,202
10.1016/j.jpowsour.2018.09.006,PtNi,10.11,6,347,4.3,14,60,177
10.1016/j.jpowsour.2018.09.006,PtNi,10.11,6,347,4.3,14,50,159
10.1016/j.jpowsour.2018.09.006,PtNi,10.11,6,347,4.3,14,40,139
10.1016/j.jpowsour.2018.09.006,PtNi,10.11,6,347,4.3,14,20,79
10.1016/j.jpowsour.2018.09.006,PtNi,10.11,6,347,4.3,14,10,42
