DOI,Composition,Pt_wt,Pt_size,Surface_area,N_doped,pH,Current_Density,Overpotential
10.1039/c8ee00402a,PtRu,5.24,5.12,105.2,0,0.3,100,145.3
10.1039/c8ee00402a,PtRu,5.24,5.12,105.2,0,0.3,80,132.1
10.1039/c8ee00402a,PtRu,5.24,5.12,105.2,0,0.3,60,115.6
10.1039/c8ee00402a,PtRu,5.24,5.12,105.2,0,0.3,50,105.7
10.1039/c8ee00402a,PtRu,5.24,5.12,105.2,0,0.3,40,93.6
10.1039/c8ee00402a,PtRu,5.24,5.12,105.2,0,0.3,20,65
10.1039/c8ee00402a,PtRu,5.24,5.12,105.2,0,0.3,10,46.6
10.1039/c8ee00402a,PtRu,4.42,2.57,630.3,0,0.3,100,43.1
10.1039/c8ee00402a,PtRu,4.42,2.57,630.3,0,0.3,80,39.6
10.1039/c8ee00402a,PtRu,4.42,2.57,630.3,0,0.3,60,35.2
10.1039/c8ee00402a,PtRu,4.42,2.57,630.3,0,0.3,50,31.9
10.1039/c8ee00402a,PtRu,4.42,2.57,630.3,0,0.3,40,29.7
10.1039/c8ee00402a,PtRu,4.42,2.57,630.3,0,0.3,20,24.2
10.1039/c8ee00402a,PtRu,4.42,2.57,630.3,0,0.3,10,19.7
10.1016/j.cej.2021.131085,PtRu,27,1.9,161,32.34,13,50,124
10.1016/j.cej.2021.131085,PtRu,27,1.9,161,32.34,13,40,111
10.1016/j.cej.2021.131085,PtRu,27,1.9,161,32.34,0.3,20,82
10.1016/j.cej.2021.131085,PtRu,27,1.9,161,32.34,13,20,81
10.1016/j.cej.2021.131085,PtRu,27,1.9,161,32.34,13,10,61
10.1016/j.cej.2021.131085,PtRu,27,1.9,161,32.34,0.3,10,53
10.1039/c8ee00402a,PtRu,19.82,2.84,259.8,0,0.3,100,61.8
10.1039/c8ee00402a,PtRu,19.82,2.84,259.8,0,0.3,80,53.9
10.1039/c8ee00402a,PtRu,19.82,2.84,259.8,0,0.3,60,46.2
10.1039/c8ee00402a,PtRu,19.82,2.84,259.8,0,0.3,50,40.7
10.1039/c8ee00402a,PtRu,19.82,2.84,259.8,0,0.3,40,37.4
10.1039/c8ee00402a,PtRu,19.82,2.84,259.8,0,0.3,20,25.3
10.1039/c8ee00402a,PtRu,19.82,2.84,259.8,0,0.3,10,19.5
